"id","name","slug","description","image","width","height","price","stock","createdAt","updatedAt"
1512,"Maskernes Nat 2","maskernes-nat-2","Plakaten har buk/folder samt små huller i hjørner fra nåle.
Dansk biografpremiere	01.10.1982
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/maskernes-nat-2.jpg",62,85,300,0,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1514,"SamSam","samsam","Dansk biografpremiere	11.06.2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/samsamplakat.jpg",70,100,50,6,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1517,"Antebellum","antebellum","Dansk biografpremiere	17.09.2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/antebellum-plakat.jpg",70,100,70,8,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1519,"De Grønne Slagtere","de-groenne-slagtere","Dansk biografpremiere	21.03.2003
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/degronneslagtere.jpg",62,85,70,0,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1521,"Knives Out - Var det mord?","knives-out-var-det-mord","Dansk biografpremiere	15.12.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/knives-out-pl.jpg",70,100,70,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1523,"1917","1917","Filmen er instrueret af Sam Mendes, som tidligere har stået bag film som Skyfall og American Beauty.
Fotografen Roger Deakins modtog en Oscar for cinematografien, der byder på både storslåede action-sekvenser og naturens rolige skønhed. Samtidig vandt &#8216;1917&#8217; Oscars for Bedste lydmiks og Bedste visuelle effekter.
Dansk biografpremiere	02.01.2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/1917-plakat.jpg",70,100,100,3,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1525,"Terminator - Dark Fate","terminator-dark-fate","&#8216;Terminator: Dark Fate&#8217; er den direkte efterfølger til Terminator 2: Dommedag, og har igen Arnold Schwarzenegger og Linda Hamilton i rollerne som cyborg og Sarah Connor.
Dansk biografpremiere 31.10.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/terminator-dark-fate-plakat.jpg",70,100,50,7,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1528,"21 Bridges","21-bridges","Actionthrilleren ’21 Bridges’ er instrueret af Brian Kirk, som står bag adskillige episoder af ’Game of Thrones’.
Dansk biografpremiere 02.01.2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/21-bridges-plakat.jpg",70,100,50,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1532,"Birds of Prey","birds-of-prey","Filmen &#8216;Birds of Prey&#8217; er baseret på DC-tegneserierne af samme navn og har Margot Robbie tilbage i rollen som Harley Quinn, der blev introduceret i Suicide Squad.
Dansk biografpremiere 06.02.2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/birds-of-prey-plakat.jpg",70,100,70,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1546,"Toy Story 4 (Teaser)","toy-story-4-teaser","Dansk biografpremiere 29.08.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/tostory-4-teaser-1.jpg",69,102,150,2,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1548,"Toy Story 4","toy-story-4","Dansk biografpremiere 29.08.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/toy-story-4-plakat.jpg",69,102,100,2,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1550,"X - Men: Dark Phoenix  (Teaser)","x-men-dark-phoenix-teaser","Filmen er baseret på tegneserien &#8216;The Dark Phoenix Saga&#8217; af Chris Claremont og John Byrne.
&#8216;X-Men: Dark Phoenix&#8217; bliver det kulminerende kapitel i filmserien, der startede med X-Men fra 2000.
Dansk biografpremiere 06.06.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/xmen-dark-pho.jpg",69,102,100,3,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1553,"Captain Marvel","captain-marvel","Marvels 21. film, Captain Marvel, er udover at være MCU&#8217;s første solo-film med en kvinde i front, også en action-mættet fortælling om tiden før Avengers.
Dansk biografpremiere 06.03.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/captain-marvel-plak.jpg",69,102,70,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1556,"Ternet Ninja","ternet-ninja","Animationsfilmen &#8216;Ternet Ninja&#8217; er en filmatisering af Anders Matthesens populære børnebog af samme navn.
Dansk biografpremiere 25.12.2018
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/ternetninja-pl.jpg",69,102,70,2,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1558,"Alita: Battle Angel","1558","&#8216;Alita: Battle Angel&#8217; er baseret på Yukito Kishiros mangaserie af samme navn.
Dansk biografpremiere 14.02.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/alita.jpg",69,102,70,2,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1563,"Beautiful Boy","beautiful-boy","&#8216;Beautiful boy&#8217; bygger på den virkelige David Sheffs biografi om stofmisbrugets uforklarlige væsen, samt hvad sygdommen betyder for ikke bare misbrugeren, men også for hele familien.
Dansk biografpremiere 17.01.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/beautiful-boy.jpg",69,101,100,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1565,"Cold War","cold-war","’Cold War’ vandt prisen for bedste instruktion ved filmfestivalen i Cannes og instruktør, Pawel Pawlikowski, modtog en Oscar og en European Film Award for bedste film for sit sort-hvide mesterværk, IDA.
Dansk biografpremiere 13.12.2018
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/coldwar.jpg",69,101,50,3,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1568,"Destroyer","destroyer"," ”Destroyer” er en enestående moderne noirfilm: fuldstændig kompromisløs i sin skildring af en martret sjæl med udsigt til hævn og med en aldeles blændende Nicole Kidman, som du med garanti aldrig har set hende før.
Dansk biografpremiere 03.01.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/destroyer-pl.jpg",69,101,50,4,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1570,"Max Pinlig 2","max-pinlig-2","Dansk biografpremiere 07.04.2011
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/maxpinlig2.jpg",69,101,50,4,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1572,"This Means War","this-means-war","Dansk biografpremiere 23.02.2012
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/thismeanswarpl.jpg",69,101,50,3,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1574,"Priest","priest","’Priest’ er baseret på den koreanske tegneserie af samme navn.
Dansk biografpremiere 16.06.2011
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/priest.jpg",69,101,70,3,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1576,"Hotel Transylvania 3: Monsterferie","transylvania-3-monsterferie"," &#8216;Hotel Transylvania 3: Monsterferie&#8217; er de velkendte gyser-figurer tilbage &#8211; og denne gang står den på sommerferie.
Dansk biografpremiere 12.07.2018
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/trans-3.png",69,101,50,4,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1578,"Hacker  (Teaser)","hacker-teaser","&#8216;Hacker&#8217; er instrueret af Poul Berg, der tidligere har været medforfatter på populære serier som &#8216;Herrens Veje&#8217; og julekalenderen &#8216;Tidsrejsen&#8217;, og filmen går i fodspor på andre danske, actionfyldte familiefilm som for eksempel Klatretøsen.
Dansk biografpremiere 28.03.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/hackerteaser.jpg",69,101,50,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1582,"Hacker","hacker","&#8216;Hacker&#8217; er instrueret af Poul Berg, der tidligere har været medforfatter på populære serier som &#8216;Herrens Veje&#8217; og julekalenderen &#8216;Tidsrejsen&#8217;, og filmen går i fodspor på andre danske, actionfyldte familiefilm som for eksempel Klatretøsen.
Dansk biografpremiere 28.03.2019
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/hacker-pl-1.jpg",69,101,50,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
